"COUNTRY","POPULATION (M)","GDP (B, USD)","G20 RANK","OECD RANK","ASIA RANK","OVERALL RANK","POST CITY","POST COUNTRY","TYPE OF POST","POST TYPE TITLE"
"Argentina","43.8","546","14","","","15","Caracas","Venezuela Bolivarian Republic of","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Hanoi","Vietnam","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Sydney","Australia","Consulate / Consulate-General","Consulate-General"
"Argentina","43.8","546","14","","","15","Cochabamba","Bolivia Plurinational State of","Consulate / Consulate-General","Consulate-General"
"Argentina","43.8","546","14","","","15","La Paz","Bolivia Plurinational State of","Consulate / Consulate-General","Consulate-General"
"Argentina","43.8","546","14","","","15","Santa Cruz","Bolivia Plurinational State of","Consulate / Consulate-General","Consulate-General"
"Argentina","43.8","546","14","","","15","Tarija","Bolivia Plurinational State of","Consulate / Consulate-General","Consulate-General"
"Argentina","43.8","546","14","","","15","Villazon","Bolivia Plurinational State of","Consulate / Consulate-General","Consulate"
"Argentina","43.8","546","14","","","15","Yacuiba","Bolivia Plurinational State of","Consulate / Consulate-General","Consulate"
"Argentina","43.8","546","14","","","15","Belo Horizonte","Brazil","Consulate / Consulate-General","Consulate"
"Argentina","43.8","546","14","","","15","Curitiba","Brazil","Consulate / Consulate-General","Consulate"
"Argentina","43.8","546","14","","","15","Florianopolis","Brazil","Consulate / Consulate-General","Consulate"
"Argentina","43.8","546","14","","","15","Foz do Iguacu","Brazil","Consulate / Consulate-General","Consulate"
"Argentina","43.8","546","14","","","15","Porto Alegre","Brazil","Consulate / Consulate-General","Consulate-General"
"Argentina","43.8","546","14","","","15","Recife","Brazil","Consulate / Consulate-General","Consulate"
"Argentina","43.8","546","14","","","15","Rio de Janeiro","Brazil","Consulate / Consulate-General","Consulate-General"
"Argentina","43.8","546","14","","","15","Salvador","Brazil","Consulate / Consulate-General","Consulate"
"Argentina","43.8","546","14","","","15","Sao Paolo","Brazil","Consulate / Consulate-General","Consulate-General"
"Argentina","43.8","546","14","","","15","Uruguayana","Brazil","Consulate / Consulate-General","Consulate"
"Argentina","43.8","546","14","","","15","Montreal","Canada","Consulate / Consulate-General","Consulate-General"
"Argentina","43.8","546","14","","","15","Toronto","Canada","Consulate / Consulate-General","Consulate-General"
"Argentina","43.8","546","14","","","15","Antofagasta","Chile","Consulate / Consulate-General","Consulate"
