"","send_country_iso","send_country","send_lon","send_lat","post_country_iso","post_country","post_city_country","post_city","post_city_lon","post_city_lat","post_type","post_title","query2","lon","lat"
"1","ARG","Argentina",-63.616672,-38.416097,"ARE","United Arab Emirates","Abu Dhabi, United Arab Emirates","Abu Dhabi",54.3773438,24.453884,"Embassy / High Commission","Embassy","Argentina, Embassy, Abu Dhabi, United Arab Emirates",54.3688971,24.4578146
"2","ARG","Argentina",-63.616672,-38.416097,"NGA","Nigeria","Abuja, Nigeria","Abuja",7.398574,9.0764785,"Embassy / High Commission","Embassy","Argentina, Embassy, Abuja, Nigeria",7.5302638,9.040182
"3","ARG","Argentina",-63.616672,-38.416097,"ETH","Ethiopia","Addis Ababa, Ethiopia","Addis Ababa",38.7577605,8.9806034,"Embassy / High Commission","Embassy","Argentina, Embassy, Addis Ababa, Ethiopia",38.7970382,8.9897752
"4","ARG","Argentina",-63.616672,-38.416097,"DZA","Algeria","Algiers, Algeria","Algiers",3.0587561,36.753768,"Embassy / High Commission","Embassy","Argentina, Embassy, Algiers, Algeria",3.0291823,36.7598856
