"","send_country_iso","send_country","send_lon","send_lat","post_country_iso","post_country","post_city_country","post_city","post_city_lon","post_city_lat","post_type","post_title","query2","lon","lat"
"25","NZL","New Zealand",174.885971,-40.900557,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","New Zealand, Embassy, Tehran, Iran Islamic Republic of",51.4761615,35.8065439
"26","NOR","Norway",8.468946,60.472024,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Norway, Embassy, Tehran, Iran Islamic Republic of",51.4681464,35.7998308
"27","PAK","Pakistan",69.345116,30.375321,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Pakistan, Embassy, Tehran, Iran Islamic Republic of",51.385032,35.7134473
"28","PHL","Philippines",121.774017,12.879721,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Philippines, Embassy, Tehran, Iran Islamic Republic of",51.4176501,35.7945396
"29","POL","Poland",19.145136,51.919438,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Poland, Embassy, Tehran, Iran Islamic Republic of",51.4195729,35.7659937
"30","PRT","Portugal",-8.224454,39.399872,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Portugal, Embassy, Tehran, Iran Islamic Republic of",51.4520965,35.7764245
"31","RUS","Russian Federation",105.318756,61.52401,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Russian Federation, Embassy, Tehran, Iran Islamic Republic of",51.4142346,35.6986427
"32","SVK","Slovak Republic",19.699024,48.669026,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Slovak Republic, Embassy, Tehran, Iran Islamic Republic of",51.4374069,35.8117943
"33","SVN","Slovenia",14.995463,46.151241,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Slovenia, Embassy, Tehran, Iran Islamic Republic of",51.4613794,35.808738
"34","ZAF","South Africa",22.937506,-30.559482,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","South Africa, Embassy, Tehran, Iran Islamic Republic of",51.4225116,35.8066108
"35","ESP","Spain",-3.74922,40.463667,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Spain, Embassy, Tehran, Iran Islamic Republic of",51.4486796,35.7679301
"36","LKA","Sri Lanka",80.771797,7.873054,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Sri Lanka, Embassy, Tehran, Iran Islamic Republic of",51.385032,35.7134473
"37","SWE","Sweden",18.643501,60.128161,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Sweden, Embassy, Tehran, Iran Islamic Republic of",51.475473,35.8011181
"38","CHE","Switzerland",8.227512,46.818188,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Switzerland, Embassy, Tehran, Iran Islamic Republic of",51.4299036,35.7864992
"39","CHE","Switzerland",8.227512,46.818188,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Other","Representative Office","Switzerland, Representative Office, Tehran, Iran Islamic Republic of",51.4299036,35.7864992
"40","THA","Thailand",100.992541,15.870032,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Thailand, Embassy, Tehran, Iran Islamic Republic of",51.4360583,35.6960761
"41","TUR","Turkey",35.243322,38.963745,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Turkey, Embassy, Tehran, Iran Islamic Republic of",51.433092,35.7926544
"42","GBR","United Kingdom",-3.435973,55.378051,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","United Kingdom, Embassy, Tehran, Iran Islamic Republic of",51.4185727,35.6958472
"43","VNM","Vietnam",108.277199,14.058324,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Vietnam, Embassy, Tehran, Iran Islamic Republic of",51.4139136,35.8090515
